N6d4k3 {'N': 6, 'd': 4, 'k': 3, 'seed': 1, 's': 21, 'matching_monomials': 539, 'q': 238, 'w_image': 28, 'good': 28, 'multipliers': 21, 'h_sweep': [9, 10, 11, 12, 13, 14]}
N8d4k3 {'N': 8, 'd': 4, 'k': 3, 'seed': 2, 's': 27, 'matching_monomials': 1577, 'q': 969, 'w_image': 181, 'good': 181, 'multipliers': 27, 'h_sweep': [28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]}
N8d4k4 {'N': 8, 'd': 4, 'k': 4, 'seed': 5, 's': 27, 'matching_monomials': 4292, 'q': 1014, 'w_image': 84, 'good': 84, 'multipliers': 285, 'h_sweep': [2, 3, 4, 5]}
N9d4k4 {'N': 9, 'd': 4, 'k': 4, 'seed': 6, 's': 30, 'matching_monomials': 6738, 'q': 2678, 'w_image': 468, 'good': 468, 'multipliers': 353, 'h_sweep': [5, 6, 7, 8, 9]}
jobs 357
{'config': 'N8d4k3', 'h': 35, 'kind': 'generic', 'trial': 0, 'beta': 945, 'w_image': 181, 'actual': 157, 'predicted': 157}
{'config': 'N8d4k3', 'h': 35, 'kind': 'generic', 'trial': 1, 'beta': 945, 'w_image': 181, 'actual': 157, 'predicted': 157}
{'config': 'N8d4k3', 'h': 35, 'kind': 'generic', 'trial': 2, 'beta': 945, 'w_image': 181, 'actual': 157, 'predicted': 157}
{'config': 'N8d4k3', 'h': 35, 'kind': 'generic', 'trial': 3, 'beta': 945, 'w_image': 181, 'actual': 157, 'predicted': 157}
{'config': 'N8d4k3', 'h': 35, 'kind': 'randomW', 'trial': 0, 'beta': 910, 'w_image': 181, 'actual': 122, 'predicted': 122}
{'config': 'N8d4k3', 'h': 35, 'kind': 'randomW', 'trial': 1, 'beta': 910, 'w_image': 181, 'actual': 122, 'predicted': 122}
{'config': 'N8d4k3', 'h': 35, 'kind': 'randomW', 'trial': 2, 'beta': 910, 'w_image': 181, 'actual': 122, 'predicted': 122}
{'config': 'N8d4k3', 'h': 35, 'kind': 'randomW', 'trial': 3, 'beta': 910, 'w_image': 181, 'actual': 122, 'predicted': 122}
{'config': 'N8d4k3', 'h': 36, 'kind': 'square', 'trial': 0, 'beta': 936, 'w_image': 181, 'actual': 148, 'predicted': 148}
{'config': 'N8d4k3', 'h': 36, 'kind': 'square', 'trial': 1, 'beta': 936, 'w_image': 181, 'actual': 148, 'predicted': 148}
{'config': 'N8d4k3', 'h': 36, 'kind': 'square', 'trial': 2, 'beta': 936, 'w_image': 181, 'actual': 148, 'predicted': 148}
{'config': 'N8d4k3', 'h': 36, 'kind': 'square', 'trial': 3, 'beta': 936, 'w_image': 181, 'actual': 148, 'predicted': 148}
{'config': 'N8d4k3', 'h': 36, 'kind': 'randomW', 'trial': 0, 'beta': 936, 'w_image': 181, 'actual': 148, 'predicted': 148}
{'config': 'N8d4k3', 'h': 36, 'kind': 'randomW', 'trial': 1, 'beta': 936, 'w_image': 181, 'actual': 148, 'predicted': 148}
{'config': 'N8d4k3', 'h': 36, 'kind': 'randomW', 'trial': 2, 'beta': 936, 'w_image': 181, 'actual': 148, 'predicted': 148}
{'config': 'N8d4k3', 'h': 36, 'kind': 'randomW', 'trial': 3, 'beta': 936, 'w_image': 181, 'actual': 148, 'predicted': 148}
